"","Pos","LW","Weeks","Song","Artist","hit_week"
"15231","11","16","9","Feels Like I’m in Love","Kelly Marie",1980-01-11
"15232","12","13","10","Wanted","Dooleys",1980-01-11
"15233","13","10","5","Breakfast in America","Supertramp",1980-01-11
"15234","14","19","11","I’ll Never Love This Way Again","Dionne Warwick",1980-01-11
"15235","15","12","4","Rise","Herb Alpert",1980-01-11
"15236","16","15","4","Caravan Song","Barbara Dickson",1980-01-11
"15237","17","14","9","Confusion","Electric Light Orchestra",1980-01-11
"15238","18","20","2","Where Have All the Flowers Gone","Roy Bulkin",1980-01-11
"15239","19","New","1","Friday on My Mind","Chilly",1980-01-11
"15240","20","17","3","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-01-11
"15241","1","1","9","Don’t Stop ’til You Get Enough","Michael Jackson",1980-01-18
"15242","2","2","12","She’s in Love with You","Suzi Quatro",1980-01-18
"15243","3","3","7","The Part of Me That Needs You Most","Exile",1980-01-18
"15244","4","4","7","Crazy Little Thing Called Love","Queen",1980-01-18
"15245","5","15","5","Rise","Herb Alpert",1980-01-18
"15246","6","7","8","Half the Way","Crystal Gayle",1980-01-18
"15247","7","8","6","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-01-18
"15248","8","5","17","Boy Oh Boy","Racey",1980-01-18
"15249","9","13","6","Breakfast in America","Supertramp",1980-01-18
"15250","10","6","13","I Have a Dream","ABBA",1980-01-18
"15251","11","19","2","Friday on My Mind","Chilly",1980-01-18
"15252","12","9","14","El Lute/Gotta Go Home","Boney M",1980-01-18
"15253","13","16","5","Caravan Song","Barbara Dickson",1980-01-18
"15254","14","20","4","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-01-18
"15255","15","12","11","Wanted","Dooleys",1980-01-18
"15256","16","11","10","Feels Like I’m in Love","Kelly Marie",1980-01-18
"15257","17","10","17","We Don’t Talk Anymore","Cliff Richard",1980-01-18
"15258","18","17","10","Confusion","Electric Light Orchestra",1980-01-18
"15259","19","New","1","Great Balls of Fire","Nightmare",1980-01-18
"15260","20","18","3","Where Have All the Flowers Gone","Roy Bulkin",1980-01-18
"15261","1","1","10","Don’t Stop ’til You Get Enough","Michael Jackson",1980-01-25
"15262","2","3","8","The Part of Me That Needs You Most","Exile",1980-01-25
"15263","3","4","8","Crazy Little Thing Called Love","Queen",1980-01-25
"15264","4","2","13","She’s in Love with You","Suzi Quatro",1980-01-25
"15265","5","5","6","Rise","Herb Alpert",1980-01-25
"15266","6","7","7","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-01-25
"15267","7","6","9","Half the Way","Crystal Gayle",1980-01-25
"15268","8","13","6","Caravan Song","Barbara Dickson",1980-01-25
"15269","9","9","7","Breakfast in America","Supertramp",1980-01-25
"15270","10","11","3","Friday on My Mind","Chilly",1980-01-25
"15271","11","8","18","Boy Oh Boy","Racey",1980-01-25
"15272","12","19","2","Great Balls of Fire","Nightmare",1980-01-25
"15273","13","New","1","Video Killed the Radio Star","Buggles",1980-01-25
"15274","14","14","5","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-01-25
"15275","15","10","14","I Have a Dream","ABBA",1980-01-25
"15276","16","12","15","El Lute/Gotta Go Home","Boney M",1980-01-25
"15277","17","New","1","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-01-25
"15278","18","17","18","We Don’t Talk Anymore","Cliff Richard",1980-01-25
"15279","19","16","11","Feels Like I’m in Love","Kelly Marie",1980-01-25
"15280","20","15","12","Wanted","Dooleys",1980-01-25
"15281","1","1","11","Don’t Stop ’til You Get Enough","Michael Jackson",1980-02-01
"15282","2","2","9","The Part of Me That Needs You Most","Exile",1980-02-01
"15283","3","5","7","Rise","Herb Alpert",1980-02-01
"15284","4","3","9","Crazy Little Thing Called Love","Queen",1980-02-01
"15285","5","4","14","She’s in Love with You","Suzi Quatro",1980-02-01
"15286","6","6","8","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-02-01
"15287","7","13","2","Video Killed the Radio Star","Buggles",1980-02-01
"15288","8","8","7","Caravan Song","Barbara Dickson",1980-02-01
"15289","9","12","3","Great Balls of Fire","Nightmare",1980-02-01
"15290","10","10","4","Friday on My Mind","Chilly",1980-02-01
"15291","11","7","10","Half the Way","Crystal Gayle",1980-02-01
"15292","12","New","1","Another Brick in the Wall (Part 2)","Pink Floyd",1980-02-01
"15293","13","14","6","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-02-01
"15294","14","9","8","Breakfast in America","Supertramp",1980-02-01
"15295","15","17","2","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-02-01
"15296","16","11","19","Boy Oh Boy","Racey",1980-02-01
"15297","17","New","1","Babe","Styx",1980-02-01
"15298","18","New","1","Gimme! Gimme! Gimme! (a Man After Midnight)","ABBA",1980-02-01
"15299","19","15","15","I Have a Dream","ABBA",1980-02-01
"15300","20","16","16","El Lute/Gotta Go Home","Boney M",1980-02-01
"15301","1","1","12","Don’t Stop ’til You Get Enough","Michael Jackson",1980-02-08
"15302","2","2","10","The Part of Me That Needs You Most","Exile",1980-02-08
"15303","3","3","8","Rise","Herb Alpert",1980-02-08
"15304","4","12","2","Another Brick in the Wall (Part 2)","Pink Floyd",1980-02-08
"15305","5","4","10","Crazy Little Thing Called Love","Queen",1980-02-08
"15306","6","5","15","She’s in Love with You","Suzi Quatro",1980-02-08
"15307","7","6","9","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-02-08
"15308","8","9","4","Great Balls of Fire","Nightmare",1980-02-08
"15309","9","8","8","Caravan Song","Barbara Dickson",1980-02-08
"15310","10","17","2","Babe","Styx",1980-02-08
"15311","11","7","3","Video Killed the Radio Star","Buggles",1980-02-08
"15312","12","13","7","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-02-08
"15313","13","15","3","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-02-08
"15314","14","10","5","Friday on My Mind","Chilly",1980-02-08
"15315","15","11","11","Half the Way","Crystal Gayle",1980-02-08
"15316","16","New","1","Escape (The Pina Colada Song)","Rupert Holmes",1980-02-08
"15317","17","18","2","Gimme! Gimme! Gimme! (a Man After Midnight)","ABBA",1980-02-08
"15318","18","New","1","Tired of Toein’ the Line","Rocky Burnette",1980-02-08
"15319","19","New","1","Run Like the Wind","Mike Batt & Friends",1980-02-08
"15320","20","14","9","Breakfast in America","Supertramp",1980-02-08
"15321","1","4","3","Another Brick in the Wall (Part 2)","Pink Floyd",1980-02-15
"15322","2","1","13","Don’t Stop ’til You Get Enough","Michael Jackson",1980-02-15
"15323","3","2","11","The Part of Me That Needs You Most","Exile",1980-02-15
"15324","4","3","9","Rise","Herb Alpert",1980-02-15
"15325","5","5","11","Crazy Little Thing Called Love","Queen",1980-02-15
"15326","6","11","4","Video Killed the Radio Star","Buggles",1980-02-15
"15327","7","8","5","Great Balls of Fire","Nightmare",1980-02-15
"15328","8","6","16","She’s in Love with You","Suzi Quatro",1980-02-15
"15329","9","10","3","Babe","Styx",1980-02-15
"15330","10","7","10","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-02-15
"15331","11","13","4","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-02-15
"15332","12","9","9","Caravan Song","Barbara Dickson",1980-02-15
"15333","13","18","2","Tired of Toein’ the Line","Rocky Burnette",1980-02-15
"15334","14","16","2","Escape (The Pina Colada Song)","Rupert Holmes",1980-02-15
"15335","15","New","1","Do That to Me One More Time","Captain & Tennille",1980-02-15
"15336","16","17","3","Gimme! Gimme! Gimme! (a Man After Midnight)","ABBA",1980-02-15
"15337","17","12","8","This is Your Lucky Day (The Girl Won’t Get Under)","Alan Price",1980-02-15
"15338","18","14","6","Friday on My Mind","Chilly",1980-02-15
"15339","19","19","2","Run Like the Wind","Mike Batt & Friends",1980-02-15
"15340","20","15","12","Half the Way","Crystal Gayle",1980-02-15
"15341","1","1","4","Another Brick in the Wall (Part 2)","Pink Floyd",1980-02-22
"15342","2","2","14","Don’t Stop ’til You Get Enough","Michael Jackson",1980-02-22
"15343","3","3","12","The Part of Me That Needs You Most","Exile",1980-02-22
"15344","4","4","10","Rise","Herb Alpert",1980-02-22
"15345","5","9","4","Babe","Styx",1980-02-22
"15346","6","6","5","Video Killed the Radio Star","Buggles",1980-02-22
"15347","7","7","6","Great Balls of Fire","Nightmare",1980-02-22
"15348","8","15","2","Do That to Me One More Time","Captain & Tennille",1980-02-22
"15349","9","13","3","Tired of Toein’ the Line","Rocky Burnette",1980-02-22
"15350","10","5","12","Crazy Little Thing Called Love","Queen",1980-02-22
"15351","11","14","3","Escape (The Pina Colada Song)","Rupert Holmes",1980-02-22
"15352","12","10","11","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-02-22
"15353","13","8","17","She’s in Love with You","Suzi Quatro",1980-02-22
"15354","14","11","5","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-02-22
"15355","15","12","10","Caravan Song","Barbara Dickson",1980-02-22
"15356","16","New","1","Please Don’t Go","KC & The Sunshine Band",1980-02-22
"15357","17","16","4","Gimme! Gimme! Gimme! (a Man After Midnight)","ABBA",1980-02-22
"15358","18","New","1","Rapper’s Delight","Sugarhill Gang",1980-02-22
"15359","19","18","7","Friday on My Mind","Chilly",1980-02-22
"15360","20","New","1","Ballad of Lucy Jordan","Marianne Faithfull",1980-02-22
"15361","1","5","5","Babe","Styx",1980-02-29
"15362","2","1","5","Another Brick in the Wall (Part 2)","Pink Floyd",1980-02-29
"15363","3","2","15","Don’t Stop ’til You Get Enough","Michael Jackson",1980-02-29
"15364","4","4","11","Rise","Herb Alpert",1980-02-29
"15365","5","8","3","Do That to Me One More Time","Captain & Tennille",1980-02-29
"15366","6","3","13","The Part of Me That Needs You Most","Exile",1980-02-29
"15367","7","9","4","Tired of Toein’ the Line","Rocky Burnette",1980-02-29
"15368","8","6","6","Video Killed the Radio Star","Buggles",1980-02-29
"15369","9","7","7","Great Balls of Fire","Nightmare",1980-02-29
"15370","10","16","2","Please Don’t Go","KC & The Sunshine Band",1980-02-29
"15371","11","20","2","Ballad of Lucy Jordan","Marianne Faithfull",1980-02-29
"15372","12","11","4","Escape (The Pina Colada Song)","Rupert Holmes",1980-02-29
"15373","13","10","13","Crazy Little Thing Called Love","Queen",1980-02-29
"15374","14","14","6","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-02-29
"15375","15","13","18","She’s in Love with You","Suzi Quatro",1980-02-29
"15376","16","18","2","Rapper’s Delight","Sugarhill Gang",1980-02-29
"15377","17","15","11","Caravan Song","Barbara Dickson",1980-02-29
"15378","18","12","12","If I Said You Had a Beautiful Body (Would You Hold it Against Me)","Bellamy Brothers",1980-02-29
"15379","19","New","1","Gloria","Umberto Tozzi",1980-02-29
"15380","20","New","1","Gonna Get Along Without You Now","Viola Wills",1980-02-29
"15381","1","2","6","Another Brick in the Wall (Part 2)","Pink Floyd",1980-03-07
"15382","2","5","4","Do That to Me One More Time","Captain & Tennille",1980-03-07
"15383","3","1","6","Babe","Styx",1980-03-07
"15384","4","10","3","Please Don’t Go","KC & The Sunshine Band",1980-03-07
"15385","5","11","3","Ballad of Lucy Jordan","Marianne Faithfull",1980-03-07
"15386","6","7","5","Tired of Toein’ the Line","Rocky Burnette",1980-03-07
"15387","7","3","16","Don’t Stop ’til You Get Enough","Michael Jackson",1980-03-07
"15388","8","4","12","Rise","Herb Alpert",1980-03-07
"15389","9","6","14","The Part of Me That Needs You Most","Exile",1980-03-07
"15390","10","8","7","Video Killed the Radio Star","Buggles",1980-03-07
"15391","11","9","8","Great Balls of Fire","Nightmare",1980-03-07
"15392","12","16","3","Rapper’s Delight","Sugarhill Gang",1980-03-07
"15393","13","12","5","Escape (The Pina Colada Song)","Rupert Holmes",1980-03-07
"15394","14","14","7","Ain’t Gonna Stop (Till I Get to the Top)","Joy",1980-03-07
"15395","15","19","2","Gloria","Umberto Tozzi",1980-03-07
"15396","16","13","14","Crazy Little Thing Called Love","Queen",1980-03-07
"15397","17","15","19","She’s in Love with You","Suzi Quatro",1980-03-07
"15398","18","New","1","I Want You Tonight","Pablo Cruise",1980-03-07
